id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0zjaKZG60TLWtuCSUcpmy9,Lovers Never Die,Courage (Deluxe Edition),0mqNgHFh1NYaxmlMS5IeGc,['Céline Dion'],['4S9EykWXhStSc15wEx8QFK'],2,1,False,0.6409999999999999,0.5529999999999999,1,-7.187,0,0.0542,0.0694,0.0,0.166,0.5,135.936,171080,4.0,2019,2019-11-15
6epBEP0zq7Yzzn3mU0pkDD,Cut You Loose,Alone & Acoustic,70W1SUU0gTwXfCJ5KhqZyl,"['Buddy Guy', 'Junior Wells']","['2gCsNOpiBaMNh20jQ5prf0', '78CBFzwo7wwNaaTYVP5btK']",10,1,False,0.752,0.0871,2,-17.778,1,0.0597,0.76,0.00337,0.325,0.499,76.846,243000,4.0,1991,1991-06-18
5d3nul9hu1QGE0LFURFxdp,Goodbye,Cover Anthology Pt. 1,4cVJM8CT0WRNiCzTghMiZX,['Future Sunsets'],['5A2AsabIONr5sHcWDqS6c7'],7,1,False,0.721,0.472,0,-7.48,1,0.0302,0.0172,0.000226,0.166,0.485,120.02,186122,4.0,2015,2015-06-07
6Nz7dVPIyFmXnHWtQWQxu0,"Symphony No. 1 in D Minor, Op. 13: IV. Allegro con fuoco (Live)",Rachmaninov: Symphony No. 1,66dWbF34hepfTnydtTiWqn,"['Sergei Rachmaninoff', 'Philharmonia Orchestra', 'Vladimir Ashkenazy']","['0Kekt6CKSo0m5mivKcoH51', '09KZU0NsS7jRa5p0SflmGY', '20iZXzMb8LoWXOeca32i82']",4,1,False,0.1969999999999999,0.171,2,-20.046,1,0.0462,0.8640000000000001,0.8390000000000001,0.0913,0.0655,75.38,740227,4.0,2017,2017-09-01
5IdLyeZIebU0hhY6yyqn9B,Stormy Weather (Live),Celtic Crossings Live,7xtlW78GJo9a4o8EUIfVEE,['Karl Jones'],['3sjO50H0ia894xNlBYrvnp'],9,2,False,0.514,0.283,3,-14.387,0,0.0431,0.429,0.00228,0.2769999999999999,0.7859999999999999,91.498,366853,4.0,2015,2015-05-05
0Yz1CrfPta64EpqOIyL6kx,Can't Reach,The Golden Fang,7M87G0lJb85BepiN04ZIIl,['Shake Stew'],['6RoD5V5SDApmcG8Iiw8SS6'],3,1,False,0.371,0.0293,3,-17.492,0,0.0422,0.955,0.413,0.13,0.0858,128.863,378813,4.0,2017,2017-02-17
3mfhJ5R93vdz45K1KUBIh8,Flipside,Flipside,3hvEIx3XndfMFGu17AAUq7,['Josh Blackburn'],['4PKLKJ60B6BBr8GYtksYPH'],1,1,False,0.575,0.866,4,-6.888999999999999,1,0.0389,0.2269999999999999,0.000907,0.077,0.857,113.005,280787,4.0,2010,2010-11-01
3vsJ451ZnwrHM30I95da0B,The Future Is Not What It Used To Be,Live,2x8SiiyU06iRW3YKIGJCdh,['Ronnie Milsap'],['6Sb8EHpZvyjSTT5KD9DjUZ'],14,1,False,0.413,0.212,7,-13.817,1,0.036,0.593,0.0,0.713,0.187,146.567,253773,5.0,2002,2002-09-24
37kg5uZhMrt0RhMthdKL02,Everything You Do,M.I.C.,6LQET0mFpBfqhIVg9Mt5GU,['M.I.C.'],['0zhQMTxLbYKJs3Nntju0vP'],5,1,False,0.325,0.773,2,-7.637,1,0.0335,0.00854,0.0235,0.102,0.4679999999999999,180.158,282813,4.0,2009,2009-02-03
5Fla3zyOCcIRqrDoKLU0DP,Let You Love Me,Phoenix (Deluxe Edition),6Vn8F3hERVHYYz5RfKmsAN,['Rita Ora'],['5CCwRZC6euC8Odo6y9X8jr'],2,1,False,0.475,0.846,10,-3.344,1,0.283,0.275,0.0,0.0824,0.451,96.036,191120,4.0,2018,2018-11-23
