DATE,weekday,OPEN,CLOSE,VOL
1984-09-07,Friday,0.10122,0.10122,97236149.0
1984-09-10,Monday,0.10122,0.10062,75471114.0
1984-09-11,Tuesday,0.10153,0.10246,177965367.0
1984-09-12,Wednesday,0.10246,0.09938,155467926.0
1984-09-13,Thursday,0.1049,0.1049,242135546.0
1984-09-14,Friday,0.1052,0.10642,288307609.0
1984-09-17,Monday,0.10918,0.10918,225105428.0
1984-09-18,Tuesday,0.10918,0.1052,113638373.0
1984-09-19,Wednesday,0.1052,0.10306,124128457.0
1984-09-20,Thursday,0.10336,0.10336,77276199.0
1984-09-21,Friday,0.10336,0.10246,116594368.0
1984-09-24,Monday,0.10246,0.10153,92265803.0
1984-09-25,Tuesday,0.10122,0.09938,194786208.0
1984-09-26,Wednesday,0.09938,0.09817,129595880.0
1984-09-27,Thursday,0.09817,0.09817,123709896.0
1984-09-28,Friday,0.09817,0.09572,272585537.0
1984-10-01,Monday,0.09543,0.09358,114187709.0
1984-10-02,Tuesday,0.09419,0.09419,138097766.0
1984-10-03,Wednesday,0.09572,0.09572,140635330.0
1984-10-04,Thursday,0.09692,0.09692,146547444.0
1984-10-05,Friday,0.09692,0.09481,113952297.0
1984-10-08,Monday,0.09481,0.09481,54857205.0
1984-10-09,Tuesday,0.09481,0.09389,146285827.0
1984-10-10,Wednesday,0.09389,0.09112,426091495.0
1984-10-11,Thursday,0.09112,0.09052,213438159.0
1984-10-12,Friday,0.09052,0.08654,310412707.0
1984-10-15,Monday,0.09142,0.09142,284095878.0
1984-10-16,Tuesday,0.09142,0.09112,137836242.0
1984-10-17,Wednesday,0.09481,0.09481,182935811.0
1984-10-18,Thursday,0.09755,0.09755,288647688.0
1984-10-19,Friday,0.09755,0.09755,380861175.0
1984-10-22,Monday,0.09755,0.09692,134016906.0
1984-10-23,Tuesday,0.09908,0.09908,217728397.0
1984-10-24,Wednesday,0.1,0.1,195047809.0
1984-10-25,Thursday,0.1,0.09634,184714694.0
1984-10-26,Friday,0.09634,0.09389,134121498.0
1984-10-29,Monday,0.09419,0.09419,59147414.0
1984-10-30,Tuesday,0.09543,0.09543,87112288.0
1984-10-31,Wednesday,0.09543,0.09481,70343834.0
1984-11-01,Thursday,0.09543,0.09543,54935654.0
1984-11-02,Friday,0.09543,0.09481,32333566.0
1984-11-05,Monday,0.09481,0.09419,123055915.0
1984-11-06,Tuesday,0.1,0.1,263141873.0
1984-11-07,Wednesday,0.1,0.09817,270414287.0
1984-11-08,Thursday,0.09817,0.09419,102912813.0
1984-11-09,Friday,0.09419,0.0887,343504928.0
1984-11-12,Monday,0.09174,0.09174,132264158.0
