<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19841016,000000,0.09142,0.09174,0.09112,0.09112,137836242,0
AAPL.US,D,19841017,000000,0.09481,0.09543,0.09481,0.09481,182935811,0
AAPL.US,D,19841018,000000,0.09755,0.09817,0.09755,0.09755,288647688,0
AAPL.US,D,19841019,000000,0.09755,0.10428,0.09724,0.09755,380861175,0
AAPL.US,D,19841022,000000,0.09755,0.09908,0.09692,0.09692,134016906,0
AAPL.US,D,19841023,000000,0.09908,0.1,0.09908,0.09908,217728397,0
AAPL.US,D,19841024,000000,0.1,0.10122,0.1,0.1,195047809,0
AAPL.US,D,19841025,000000,0.1,0.1,0.09634,0.09634,184714694,0
AAPL.US,D,19841026,000000,0.09634,0.09634,0.09358,0.09389,134121498,0
AAPL.US,D,19841029,000000,0.09419,0.09481,0.09419,0.09419,59147414,0
AAPL.US,D,19841030,000000,0.09543,0.09634,0.09543,0.09543,87112288,0
AAPL.US,D,19841031,000000,0.09543,0.09634,0.09481,0.09481,70343834,0
AAPL.US,D,19841101,000000,0.09543,0.09634,0.09543,0.09543,54935654,0
AAPL.US,D,19841102,000000,0.09543,0.09572,0.09419,0.09481,32333566,0
AAPL.US,D,19841105,000000,0.09481,0.09692,0.09419,0.09419,123055915,0
AAPL.US,D,19841106,000000,0.1,0.10062,0.1,0.1,263141873,0
AAPL.US,D,19841107,000000,0.1,0.10062,0.09817,0.09817,270414287,0
AAPL.US,D,19841108,000000,0.09817,0.09817,0.09419,0.09419,102912813,0
AAPL.US,D,19841109,000000,0.09419,0.09481,0.08778,0.0887,343504928,0
AAPL.US,D,19841112,000000,0.09174,0.09235,0.09174,0.09174,132264158,0
AAPL.US,D,19841113,000000,0.09174,0.09389,0.08962,0.08962,147933939,0
AAPL.US,D,19841114,000000,0.09052,0.09142,0.09052,0.09052,121852492,0
AAPL.US,D,19841115,000000,0.09052,0.09142,0.09052,0.09052,124494657,0
AAPL.US,D,19841116,000000,0.09052,0.09174,0.08809,0.0887,193582869,0
AAPL.US,D,19841119,000000,0.0887,0.08931,0.08348,0.08348,272088493,0
AAPL.US,D,19841120,000000,0.08623,0.08654,0.08623,0.08623,307430447,0
AAPL.US,D,19841121,000000,0.08809,0.0887,0.08809,0.08809,208729365,0
AAPL.US,D,19841123,000000,0.08931,0.09174,0.08931,0.09052,160098193,0
AAPL.US,D,19841126,000000,0.09142,0.09142,0.09142,0.09142,117536207,0
AAPL.US,D,19841127,000000,0.09389,0.09481,0.09389,0.09389,148797171,0
AAPL.US,D,19841128,000000,0.09878,0.10122,0.09878,0.09878,479431485,0
AAPL.US,D,19841129,000000,0.09878,0.09878,0.09692,0.09692,204229934,0
AAPL.US,D,19841130,000000,0.09692,0.09755,0.09389,0.09419,126953742,0
AAPL.US,D,19841203,000000,0.09419,0.09481,0.09296,0.09296,114449310,0
AAPL.US,D,19841204,000000,0.09481,0.09692,0.09481,0.09481,140582988,0
AAPL.US,D,19841205,000000,0.09938,0.09938,0.09938,0.09938,307038098,0
AAPL.US,D,19841206,000000,0.10428,0.1049,0.10428,0.10428,370528058,0
AAPL.US,D,19841207,000000,0.10428,0.10826,0.10336,0.10396,577530804,0
AAPL.US,D,19841210,000000,0.10396,0.10396,0.10185,0.10185,130197521,0
