Model,Shift_Type,Intensity,Accuracy,Accuracy_Lower_CI,Accuracy_Upper_CI,F1_Score,F1_Lower_CI,F1_Upper_CI,ROC_AUC,ROC_Lower_CI,ROC_Upper_CI,Brier_Score,Brier_Lower_CI,Brier_Upper_CI,KS_Statistic
SVM (RBF),Concept-Adjacent Shift,0.25,0.7539154468215785,0.7466654724127342,0.7610579383764972,0.7624488362308701,0.7551591041120985,0.7691186579244019,0.8022747399830941,0.7936704234437315,0.8092743673968881,0.17743924824627536,0.17177714483138576,0.18210374773824606,0.004813087073297944
Decision Tree,Concept-Adjacent Shift,0.25,0.6830791278534138,0.6735489814720033,0.6937224895076262,0.7045596766828913,0.6963236399929678,0.7143414609012778,0.6848322790372884,0.6737414576618689,0.6961173769991597,0.31692087214658615,0.30627751049237384,0.32645101852799674,0.004813087073297944
Random Forest,Concept-Adjacent Shift,0.25,0.7260722694236872,0.7170820964274747,0.7355000511823114,0.7425852280359795,0.7340591353116351,0.7514640331718545,0.8121834075663195,0.8026298993534365,0.8201180391845118,0.18316449625231743,0.1774690747802004,0.18844364183471524,0.004813087073297944
Gradient Boosting,Concept-Adjacent Shift,0.25,0.7273006448971235,0.7176732521240659,0.7360118742962433,0.7423690528035647,0.7333526677169485,0.7502969811570817,0.792324457722769,0.7830147003022666,0.8021867910293169,0.22113051130198966,0.21398963523987277,0.22806668785772383,0.004813087073297944
AdaBoost,Concept-Adjacent Shift,0.25,0.7442931722796602,0.7345147916879926,0.7514689323369843,0.7563412565947858,0.7471371461674473,0.7633974681120309,0.811068991839264,0.8010767125431416,0.818794963353467,0.19727792269135885,0.1957539309619641,0.1991396681185914,0.004813087073297944
Naive Baseline,Concept-Adjacent Shift,0.5,0.7606715119254785,0.7522776128569966,0.7679496366055891,0.6572732564090966,0.6459268812812324,0.6671532327937938,0.5,0.5,0.5,0.23932848807452145,0.23205036339441087,0.24772238714300338,0.009741212484584375
Naïve Bayes,Concept-Adjacent Shift,0.5,0.4464121199713379,0.436876855358788,0.45777971133176376,0.4436141620654019,0.43150177613120616,0.4562729839590855,0.6726413083055873,0.6628065829124429,0.6791217468128271,0.5512778463485172,0.5402069516595913,0.5608543146984408,0.009741212484584375
Logistic Regression,Concept-Adjacent Shift,0.5,0.5744702630770806,0.5668722489507626,0.5824649401166957,0.6038315438042317,0.5953972155991781,0.6120480506409093,0.6452805502669039,0.6359698019564243,0.6563282973367488,0.3900636840912416,0.38222161979721075,0.3973851855064886,0.009741212484584375
SVM (RBF),Concept-Adjacent Shift,0.5,0.6549288565871635,0.6475765175555328,0.6656541099396049,0.6786715950505203,0.6726688621264757,0.6889755430153993,0.7195247028291879,0.711429046315156,0.7307606607818932,0.24887407751867824,0.24128398120957556,0.2542685909450614,0.009741212484584375
Decision Tree,Concept-Adjacent Shift,0.5,0.5489814720032756,0.54084092537619,0.5580484184665779,0.5779025962973586,0.5701881824479673,0.5863018208902709,0.6226313161784165,0.6126573128451314,0.632862945689299,0.4510185279967243,0.44195158153342207,0.45915907462381,0.009741212484584375
Random Forest,Concept-Adjacent Shift,0.5,0.5812263281809806,0.5725253352441396,0.5915165318865799,0.6100662919586541,0.6019216288103889,0.6188592825090922,0.7550833508022885,0.745126970534125,0.7645225709538768,0.265580701425143,0.2596425760128411,0.27144187409009224,0.009741212484584375
Gradient Boosting,Concept-Adjacent Shift,0.5,0.5857303715835808,0.577589824956495,0.59527075442727,0.6148980825814726,0.6071504396142027,0.6232091923915,0.7277244921887006,0.7167300717008496,0.7375612858963624,0.35111963215099334,0.34274725478316426,0.3578621027726804,0.009741212484584375
AdaBoost,Concept-Adjacent Shift,0.5,0.6267785853209131,0.617102569352032,0.6361730985771318,0.6540974052581648,0.6453686641841602,0.663072511109397,0.756777148741907,0.746400129865052,0.7651762121732598,0.22403002583866688,0.22208470250192575,0.22612348659105633,0.009741212484584375
Naive Baseline,Concept-Adjacent Shift,0.75,0.7606715119254785,0.7511490428907769,0.7682567304739482,0.6572732564090966,0.6444057548308443,0.6675709551882066,0.5,0.5,0.5,0.23932848807452145,0.2317432695260518,0.24885095710922303,0.014626442244417472
Naïve Bayes,Concept-Adjacent Shift,0.75,0.36953628825877777,0.3606791892721875,0.3794272699355103,0.3313430735107512,0.3215868180991314,0.34101360113954426,0.6052518643432899,0.5986406996115401,0.610773139092765,0.6290546139745303,0.6192353957434493,0.6380543642602033,0.014626442244417472
Logistic Regression,Concept-Adjacent Shift,0.75,0.4445695567611833,0.4323011567202375,0.45306582045245164,0.45385728961396476,0.44074720812098217,0.4632131014412651,0.5960692088341916,0.5845093706679202,0.6076462700626492,0.5244078117625667,0.5160541488269893,0.5359342642511485,0.014626442244417472
SVM (RBF),Concept-Adjacent Shift,0.75,0.5466270856791893,0.5367796089671409,0.5557196232981881,0.5778377718517157,0.5691056604024696,0.5866748453258281,0.6527039640080816,0.6398673342962304,0.6645945454975218,0.32268249659399745,0.31622596784800344,0.3285959935492781,0.014626442244417472
Decision Tree,Concept-Adjacent Shift,0.75,0.42286825673047396,0.4128544375063978,0.43254427269935514,0.42738222191798503,0.4169562465489082,0.4371298145522655,0.5696360897214741,0.560540444460524,0.578383853852686,0.5771317432695261,0.567455727300645,0.5871455624936022,0.014626442244417472
Random Forest,Concept-Adjacent Shift,0.75,0.4429317227966015,0.43248541304125293,0.4531963353465042,0.45156931284145657,0.44047884148153604,0.46376530901023577,0.7369148605148547,0.7264011192123476,0.7446732891747057,0.34579178778676317,0.33932486384310917,0.35273981569789925,0.014626442244417472
Gradient Boosting,Concept-Adjacent Shift,0.75,0.4483570478042788,0.43878339645818404,0.4590029685740608,0.45917631835931516,0.4489800115122704,0.46963892141401176,0.7314411202970379,0.7204756011900602,0.7436724360361449,0.4751637507009379,0.4677516007508843,0.48272794153262033,0.014626442244417472
AdaBoost,Concept-Adjacent Shift,0.75,0.5126420309141161,0.502950660251817,0.5241606100931517,0.5346063740142432,0.5257158836675914,0.5454100895323037,0.7460506923174242,0.7355705959905844,0.7572416009974602,0.24988179010395867,0.24725812932557495,0.25200870896907945,0.014626442244417472
Naive Baseline,Concept-Adjacent Shift,1.0,0.7606715119254785,0.7523159995905415,0.7685356740710411,0.6572732564090966,0.6459786758173434,0.6679505900585809,0.5,0.5,0.5,0.23932848807452145,0.23146432592895896,0.24768400040945848,0.019442454021223597
Naïve Bayes,Concept-Adjacent Shift,1.0,0.2856996621967448,0.27518937455215475,0.2931287746954652,0.18778409354431816,0.17776001624682952,0.19803477304538616,0.5373823550776063,0.5330461696880854,0.5414314002196245,0.7135789602610615,0.7060153090362211,0.7239167136984895,0.019442454021223597
Logistic Regression,Concept-Adjacent Shift,1.0,0.3087317023236769,0.2969239430852697,0.3162247927116389,0.232475714767458,0.22139577473493108,0.2401403488071201,0.571948841229819,0.5574811888527761,0.5847077521410455,0.6641986651123367,0.6562889525734582,0.6753024165773409,0.019442454021223597
SVM (RBF),Concept-Adjacent Shift,1.0,0.4585935100829153,0.44716961817995704,0.4677679394001433,0.4814338362815265,0.4722421981569095,0.4911993565155776,0.6115659562701692,0.5974046415260722,0.6236514651786746,0.3880039992548778,0.3818533422105412,0.39547896592418713,0.019442454021223597
Decision Tree,Concept-Adjacent Shift,1.0,0.30136144948305865,0.2938785955573754,0.3080612140444262,0.22897303763151663,0.2198550645690174,0.23777102085468704,0.5217207317874776,0.5165962131878864,0.526653627809343,0.6986385505169413,0.6919387859555738,0.7061214044426246,0.019442454021223597
Random Forest,Concept-Adjacent Shift,1.0,0.300337803255195,0.29142696284164193,0.3088340669464633,0.22354016560300433,0.21269414894681513,0.23286409890430096,0.7515810699380983,0.7390694287277505,0.7616999336827821,0.42623782827765844,0.4208380477360357,0.43182198766506297,0.019442454021223597
Gradient Boosting,Concept-Adjacent Shift,1.0,0.30934589006039515,0.29884583887808375,0.3207288361142389,0.238770573343771,0.22702553587975172,0.2505292150967837,0.7813953096172266,0.7698548875991618,0.7925337479969529,0.5982319641231693,0.5882302327010921,0.6065818951586975,0.019442454021223597
AdaBoost,Concept-Adjacent Shift,1.0,0.386426451018528,0.3780120790254888,0.39661940833248027,0.36017792354867323,0.34948462127507374,0.37037832891682104,0.7525355886070871,0.7424556764285809,0.7644305414005855,0.27730767937650047,0.27498733466797687,0.2791807720783,0.019442454021223597
